utterance,emotion,clean_text,tokens
Will insurance usually help with deep cleaning,neutral,will insurance usually help with deep cleaning,"['will', 'insurance', 'usually', 'help', 'with', 'deep', 'cleaning']"
Alright. I am still sad about this but I want to start,sad,alright i am still sad about this but i want to start,"['alright', 'i', 'am', 'still', 'sad', 'about', 'this', 'but', 'i', 'want', 'to', 'start']"
Hi doctor I came for gum recession around my front teeth,neutral,hi doctor i came for gum recession around my front teeth,"['hi', 'doctor', 'i', 'came', 'for', 'gum', 'recession', 'around', 'my', 'front', 'teeth']"
The teeth look longer and cold air hurts them,neutral,the teeth look longer and cold air hurts them,"['the', 'teeth', 'look', 'longer', 'and', 'cold', 'air', 'hurts', 'them']"
It has been happening for about a year and it makes me feel sad every time I spit blood,sad,it has been happening for about a year and it makes me feel sad every time i spit blood,"['it', 'has', 'been', 'happening', 'for', 'about', 'a', 'year', 'and', 'it', 'makes', 'me', 'feel', 'sad', 'every', 'time', 'i', 'spit', 'blood']"
They are not bleeding much but they do feel exposed and sore,neutral,they are not bleeding much but they do feel exposed and sore,"['they', 'are', 'not', 'bleeding', 'much', 'but', 'they', 'do', 'feel', 'exposed', 'and', 'sore']"
I brush hard because I thought harder was cleaner and I floss a few times a week,neutral,i brush hard because i thought harder was cleaner and i floss a few times a week,"['i', 'brush', 'hard', 'because', 'i', 'thought', 'harder', 'was', 'cleaner', 'and', 'i', 'floss', 'a', 'few', 'times', 'a', 'week']"
I clench at night and I have been under a lot of stress,neutral,i clench at night and i have been under a lot of stress,"['i', 'clench', 'at', 'night', 'and', 'i', 'have', 'been', 'under', 'a', 'lot', 'of', 'stress']"
Okay. I am worried because my gums look lower than they used to,neutral,okay i am worried because my gums look lower than they used to,"['okay', 'i', 'am', 'worried', 'because', 'my', 'gums', 'look', 'lower', 'than', 'they', 'used', 'to']"
Thank you. I get discouraged when I see changes in my mouth,neutral,thank you i get discouraged when i see changes in my mouth,"['thank', 'you', 'i', 'get', 'discouraged', 'when', 'i', 'see', 'changes', 'in', 'my', 'mouth']"
Is that considered gum disease,neutral,is that considered gum disease,"['is', 'that', 'considered', 'gum', 'disease']"
Hearing that makes my chest heavy because I already feel overwhelmed,neutral,hearing that makes my chest heavy because i already feel overwhelmed,"['hearing', 'that', 'makes', 'my', 'chest', 'heavy', 'because', 'i', 'already', 'feel', 'overwhelmed']"
What treatment do you recommend,neutral,what treatment do you recommend,"['what', 'treatment', 'do', 'you', 'recommend']"
Will that be more intense than a regular cleaning,neutral,will that be more intense than a regular cleaning,"['will', 'that', 'be', 'more', 'intense', 'than', 'a', 'regular', 'cleaning']"
Can numb gel or injections be used,neutral,can numb gel or injections be used,"['can', 'numb', 'gel', 'or', 'injections', 'be', 'used']"
Will my gums grow back after treatment,neutral,will my gums grow back after treatment,"['will', 'my', 'gums', 'grow', 'back', 'after', 'treatment']"
I was afraid you were going to tell me my teeth were hopeless,neutral,i was afraid you were going to tell me my teeth were hopeless,"['i', 'was', 'afraid', 'you', 'were', 'going', 'to', 'tell', 'me', 'my', 'teeth', 'were', 'hopeless']"
I feel ashamed because I feel old when I look at those teeth and it really gets me down,sad,i feel ashamed because i feel old when i look at those teeth and it really gets me down,"['i', 'feel', 'ashamed', 'because', 'i', 'feel', 'old', 'when', 'i', 'look', 'at', 'those', 'teeth', 'and', 'it', 'really', 'gets', 'me', 'down']"
What should I change at home first,neutral,what should i change at home first,"['what', 'should', 'i', 'change', 'at', 'home', 'first']"
How long until the bleeding improves,neutral,how long until the bleeding improves,"['how', 'long', 'until', 'the', 'bleeding', 'improves']"
Will I need to come back often,neutral,will i need to come back often,"['will', 'i', 'need', 'to', 'come', 'back', 'often']"
That is okay. I do not want things getting worse,neutral,that is okay i do not want things getting worse,"['that', 'is', 'okay', 'i', 'do', 'not', 'want', 'things', 'getting', 'worse']"
Can gum disease affect my breath too,neutral,can gum disease affect my breath too,"['can', 'gum', 'disease', 'affect', 'my', 'breath', 'too']"
That part has made me feel lonely and self conscious,sad,that part has made me feel lonely and self conscious,"['that', 'part', 'has', 'made', 'me', 'feel', 'lonely', 'and', 'self', 'conscious']"
Should I use sensitivity toothpaste too,neutral,should i use sensitivity toothpaste too,"['should', 'i', 'use', 'sensitivity', 'toothpaste', 'too']"
Will insurance usually help with deep cleaning,neutral,will insurance usually help with deep cleaning,"['will', 'insurance', 'usually', 'help', 'with', 'deep', 'cleaning']"
Alright. I am still sad about this but I want to start,sad,alright i am still sad about this but i want to start,"['alright', 'i', 'am', 'still', 'sad', 'about', 'this', 'but', 'i', 'want', 'to', 'start']"
Hi doctor I came for the second part of my deep cleaning,neutral,hi doctor i came for the second part of my deep cleaning,"['hi', 'doctor', 'i', 'came', 'for', 'the', 'second', 'part', 'of', 'my', 'deep', 'cleaning']"
The first side healed okay but the other side still bleeds every time I brush,neutral,the first side healed okay but the other side still bleeds every time i brush,"['the', 'first', 'side', 'healed', 'okay', 'but', 'the', 'other', 'side', 'still', 'bleeds', 'every', 'time', 'i', 'brush']"
It has been happening for the last several weeks and it makes me feel sad every time I spit blood,sad,it has been happening for the last several weeks and it makes me feel sad every time i spit blood,"['it', 'has', 'been', 'happening', 'for', 'the', 'last', 'several', 'weeks', 'and', 'it', 'makes', 'me', 'feel', 'sad', 'every', 'time', 'i', 'spit', 'blood']"
The gums feel swollen around the back teeth,neutral,the gums feel swollen around the back teeth,"['the', 'gums', 'feel', 'swollen', 'around', 'the', 'back', 'teeth']"
I am brushing twice a day and trying to floss though I miss some nights,sad,i am brushing twice a day and trying to floss though i miss some nights,"['i', 'am', 'brushing', 'twice', 'a', 'day', 'and', 'trying', 'to', 'floss', 'though', 'i', 'miss', 'some', 'nights']"
Dry mouth has been bad since I started a new work schedule,neutral,dry mouth has been bad since i started a new work schedule,"['dry', 'mouth', 'has', 'been', 'bad', 'since', 'i', 'started', 'a', 'new', 'work', 'schedule']"
Okay. I am worried because my gums look lower than they used to,neutral,okay i am worried because my gums look lower than they used to,"['okay', 'i', 'am', 'worried', 'because', 'my', 'gums', 'look', 'lower', 'than', 'they', 'used', 'to']"
Thank you. I get discouraged when I see changes in my mouth,neutral,thank you i get discouraged when i see changes in my mouth,"['thank', 'you', 'i', 'get', 'discouraged', 'when', 'i', 'see', 'changes', 'in', 'my', 'mouth']"
Is that considered gum disease,neutral,is that considered gum disease,"['is', 'that', 'considered', 'gum', 'disease']"
Hearing that makes my chest heavy because I already feel overwhelmed,neutral,hearing that makes my chest heavy because i already feel overwhelmed,"['hearing', 'that', 'makes', 'my', 'chest', 'heavy', 'because', 'i', 'already', 'feel', 'overwhelmed']"
What treatment do you recommend,neutral,what treatment do you recommend,"['what', 'treatment', 'do', 'you', 'recommend']"
Will that be more intense than a regular cleaning,neutral,will that be more intense than a regular cleaning,"['will', 'that', 'be', 'more', 'intense', 'than', 'a', 'regular', 'cleaning']"
Can numb gel or injections be used,neutral,can numb gel or injections be used,"['can', 'numb', 'gel', 'or', 'injections', 'be', 'used']"
Will my gums grow back after treatment,neutral,will my gums grow back after treatment,"['will', 'my', 'gums', 'grow', 'back', 'after', 'treatment']"
I was afraid you were going to tell me my teeth were hopeless,neutral,i was afraid you were going to tell me my teeth were hopeless,"['i', 'was', 'afraid', 'you', 'were', 'going', 'to', 'tell', 'me', 'my', 'teeth', 'were', 'hopeless']"
I feel ashamed because I am frustrated and sad that I need another long visit but I know I need it,sad,i feel ashamed because i am frustrated and sad that i need another long visit but i know i need it,"['i', 'feel', 'ashamed', 'because', 'i', 'am', 'frustrated', 'and', 'sad', 'that', 'i', 'need', 'another', 'long', 'visit', 'but', 'i', 'know', 'i', 'need', 'it']"
What should I change at home first,neutral,what should i change at home first,"['what', 'should', 'i', 'change', 'at', 'home', 'first']"
How long until the bleeding improves,neutral,how long until the bleeding improves,"['how', 'long', 'until', 'the', 'bleeding', 'improves']"
Will I need to come back often,neutral,will i need to come back often,"['will', 'i', 'need', 'to', 'come', 'back', 'often']"
That is okay. I do not want things getting worse,neutral,that is okay i do not want things getting worse,"['that', 'is', 'okay', 'i', 'do', 'not', 'want', 'things', 'getting', 'worse']"
Can gum disease affect my breath too,neutral,can gum disease affect my breath too,"['can', 'gum', 'disease', 'affect', 'my', 'breath', 'too']"
That part has made me feel lonely and self conscious,sad,that part has made me feel lonely and self conscious,"['that', 'part', 'has', 'made', 'me', 'feel', 'lonely', 'and', 'self', 'conscious']"
Should I use sensitivity toothpaste too,neutral,should i use sensitivity toothpaste too,"['should', 'i', 'use', 'sensitivity', 'toothpaste', 'too']"
Will insurance usually help with deep cleaning,neutral,will insurance usually help with deep cleaning,"['will', 'insurance', 'usually', 'help', 'with', 'deep', 'cleaning']"
Alright. I am still sad about this but I want to start,sad,alright i am still sad about this but i want to start,"['alright', 'i', 'am', 'still', 'sad', 'about', 'this', 'but', 'i', 'want', 'to', 'start']"
Hi doctor I am here about my lower denture rubbing and slipping,neutral,hi doctor i am here about my lower denture rubbing and slipping,"['hi', 'doctor', 'i', 'am', 'here', 'about', 'my', 'lower', 'denture', 'rubbing', 'and', 'slipping']"
It moves when I talk and I have a sore spot near the back,neutral,it moves when i talk and i have a sore spot near the back,"['it', 'moves', 'when', 'i', 'talk', 'and', 'i', 'have', 'a', 'sore', 'spot', 'near', 'the', 'back']"
It has been for about two months and I feel sad because it changes how I eat and smile,sad,it has been for about two months and i feel sad because it changes how i eat and smile,"['it', 'has', 'been', 'for', 'about', 'two', 'months', 'and', 'i', 'feel', 'sad', 'because', 'it', 'changes', 'how', 'i', 'eat', 'and', 'smile']"
Mostly fit problems with occasional soreness,neutral,mostly fit problems with occasional soreness,"['mostly', 'fit', 'problems', 'with', 'occasional', 'soreness']"
Yes there is looseness and one red sore area,neutral,yes there is looseness and one red sore area,"['yes', 'there', 'is', 'looseness', 'and', 'one', 'red', 'sore', 'area']"
Okay. I have been putting this off because the whole thing makes me emotional,neutral,okay i have been putting this off because the whole thing makes me emotional,"['okay', 'i', 'have', 'been', 'putting', 'this', 'off', 'because', 'the', 'whole', 'thing', 'makes', 'me', 'emotional']"
Since my husband died I eat alone most nights and this makes me feel even more lonely,sad,since my husband died i eat alone most nights and this makes me feel even more lonely,"['since', 'my', 'husband', 'died', 'i', 'eat', 'alone', 'most', 'nights', 'and', 'this', 'makes', 'me', 'feel', 'even', 'more', 'lonely']"
Thank you,neutral,thank you,"['thank', 'you']"
Can this be adjusted or do I need something new,neutral,can this be adjusted or do i need something new,"['can', 'this', 'be', 'adjusted', 'or', 'do', 'i', 'need', 'something', 'new']"
What are the pros and cons of that,neutral,what are the pros and cons of that,"['what', 'are', 'the', 'pros', 'and', 'cons', 'of', 'that']"
I worry about looking older than I am,neutral,i worry about looking older than i am,"['i', 'worry', 'about', 'looking', 'older', 'than', 'i', 'am']"
I hate how this has made me avoid smiling in front of my grandchildren,sad,i hate how this has made me avoid smiling in front of my grandchildren,"['i', 'hate', 'how', 'this', 'has', 'made', 'me', 'avoid', 'smiling', 'in', 'front', 'of', 'my', 'grandchildren']"
Will the process take many visits,neutral,will the process take many visits,"['will', 'the', 'process', 'take', 'many', 'visits']"
Is there anything you can do for comfort today,neutral,is there anything you can do for comfort today,"['is', 'there', 'anything', 'you', 'can', 'do', 'for', 'comfort', 'today']"
That would help because meals have become frustrating,neutral,that would help because meals have become frustrating,"['that', 'would', 'help', 'because', 'meals', 'have', 'become', 'frustrating']"
Sometimes I chew only on one side now,neutral,sometimes i chew only on one side now,"['sometimes', 'i', 'chew', 'only', 'on', 'one', 'side', 'now']"
Will I need a soft diet after the adjustment,neutral,will i need a soft diet after the adjustment,"['will', 'i', 'need', 'a', 'soft', 'diet', 'after', 'the', 'adjustment']"
I feel lonely when I eat slowly around other people,sad,i feel lonely when i eat slowly around other people,"['i', 'feel', 'lonely', 'when', 'i', 'eat', 'slowly', 'around', 'other', 'people']"
How should I clean it at home,neutral,how should i clean it at home,"['how', 'should', 'i', 'clean', 'it', 'at', 'home']"
Should I sleep without it if it keeps rubbing,neutral,should i sleep without it if it keeps rubbing,"['should', 'i', 'sleep', 'without', 'it', 'if', 'it', 'keeps', 'rubbing']"
Will I be able to speak normally after the adjustment,neutral,will i be able to speak normally after the adjustment,"['will', 'i', 'be', 'able', 'to', 'speak', 'normally', 'after', 'the', 'adjustment']"
If I choose the longer term option can I think about it for a few days,neutral,if i choose the longer term option can i think about it for a few days,"['if', 'i', 'choose', 'the', 'longer', 'term', 'option', 'can', 'i', 'think', 'about', 'it', 'for', 'a', 'few', 'days']"
I appreciate that because this reminds me of a hard time in my life,neutral,i appreciate that because this reminds me of a hard time in my life,"['i', 'appreciate', 'that', 'because', 'this', 'reminds', 'me', 'of', 'a', 'hard', 'time', 'in', 'my', 'life']"
Do you think my smile can look natural again,neutral,do you think my smile can look natural again,"['do', 'you', 'think', 'my', 'smile', 'can', 'look', 'natural', 'again']"
That gives me some hope even though I still feel down,sad,that gives me some hope even though i still feel down,"['that', 'gives', 'me', 'some', 'hope', 'even', 'though', 'i', 'still', 'feel', 'down']"
Hi doctor I am here about replacing the gap where my molar was pulled,neutral,hi doctor i am here about replacing the gap where my molar was pulled,"['hi', 'doctor', 'i', 'am', 'here', 'about', 'replacing', 'the', 'gap', 'where', 'my', 'molar', 'was', 'pulled']"
I have been chewing on one side and the space bothers me when I smile wide,neutral,i have been chewing on one side and the space bothers me when i smile wide,"['i', 'have', 'been', 'chewing', 'on', 'one', 'side', 'and', 'the', 'space', 'bothers', 'me', 'when', 'i', 'smile', 'wide']"
It has been since the extraction six months ago and I feel sad because it changes how I eat and smile,sad,it has been since the extraction six months ago and i feel sad because it changes how i eat and smile,"['it', 'has', 'been', 'since', 'the', 'extraction', 'six', 'months', 'ago', 'and', 'i', 'feel', 'sad', 'because', 'it', 'changes', 'how', 'i', 'eat', 'and', 'smile']"
Mostly trouble chewing and feeling off balance,neutral,mostly trouble chewing and feeling off balance,"['mostly', 'trouble', 'chewing', 'and', 'feeling', 'off', 'balance']"
No sores but food traps in the gap all the time,neutral,no sores but food traps in the gap all the time,"['no', 'sores', 'but', 'food', 'traps', 'in', 'the', 'gap', 'all', 'the', 'time']"
Okay. I have been putting this off because the whole thing makes me emotional,neutral,okay i have been putting this off because the whole thing makes me emotional,"['okay', 'i', 'have', 'been', 'putting', 'this', 'off', 'because', 'the', 'whole', 'thing', 'makes', 'me', 'emotional']"
The extraction happened during a rough divorce and I never came back to finish the plan,neutral,the extraction happened during a rough divorce and i never came back to finish the plan,"['the', 'extraction', 'happened', 'during', 'a', 'rough', 'divorce', 'and', 'i', 'never', 'came', 'back', 'to', 'finish', 'the', 'plan']"
Thank you,neutral,thank you,"['thank', 'you']"
Can this be adjusted or do I need something new,neutral,can this be adjusted or do i need something new,"['can', 'this', 'be', 'adjusted', 'or', 'do', 'i', 'need', 'something', 'new']"
What are the pros and cons of that,neutral,what are the pros and cons of that,"['what', 'are', 'the', 'pros', 'and', 'cons', 'of', 'that']"
I worry about looking older than I am,neutral,i worry about looking older than i am,"['i', 'worry', 'about', 'looking', 'older', 'than', 'i', 'am']"
I hate how this has made me avoid smiling in front of friends at dinner,sad,i hate how this has made me avoid smiling in front of friends at dinner,"['i', 'hate', 'how', 'this', 'has', 'made', 'me', 'avoid', 'smiling', 'in', 'front', 'of', 'friends', 'at', 'dinner']"
Will the process take many visits,neutral,will the process take many visits,"['will', 'the', 'process', 'take', 'many', 'visits']"
Is there anything you can do for comfort today,neutral,is there anything you can do for comfort today,"['is', 'there', 'anything', 'you', 'can', 'do', 'for', 'comfort', 'today']"
That would help because meals have become frustrating,neutral,that would help because meals have become frustrating,"['that', 'would', 'help', 'because', 'meals', 'have', 'become', 'frustrating']"
Sometimes I chew only on one side now,neutral,sometimes i chew only on one side now,"['sometimes', 'i', 'chew', 'only', 'on', 'one', 'side', 'now']"
Will I need a soft diet after the adjustment,neutral,will i need a soft diet after the adjustment,"['will', 'i', 'need', 'a', 'soft', 'diet', 'after', 'the', 'adjustment']"
I feel lonely when I eat slowly around other people,sad,i feel lonely when i eat slowly around other people,"['i', 'feel', 'lonely', 'when', 'i', 'eat', 'slowly', 'around', 'other', 'people']"
How should I clean it at home,neutral,how should i clean it at home,"['how', 'should', 'i', 'clean', 'it', 'at', 'home']"
Should I sleep without it if it keeps rubbing,neutral,should i sleep without it if it keeps rubbing,"['should', 'i', 'sleep', 'without', 'it', 'if', 'it', 'keeps', 'rubbing']"
Will I be able to speak normally after the adjustment,neutral,will i be able to speak normally after the adjustment,"['will', 'i', 'be', 'able', 'to', 'speak', 'normally', 'after', 'the', 'adjustment']"
If I choose the longer term option can I think about it for a few days,neutral,if i choose the longer term option can i think about it for a few days,"['if', 'i', 'choose', 'the', 'longer', 'term', 'option', 'can', 'i', 'think', 'about', 'it', 'for', 'a', 'few', 'days']"
I appreciate that because this reminds me of a hard time in my life,neutral,i appreciate that because this reminds me of a hard time in my life,"['i', 'appreciate', 'that', 'because', 'this', 'reminds', 'me', 'of', 'a', 'hard', 'time', 'in', 'my', 'life']"
Do you think my smile can look natural again,neutral,do you think my smile can look natural again,"['do', 'you', 'think', 'my', 'smile', 'can', 'look', 'natural', 'again']"
That gives me some hope even though I still feel down,sad,that gives me some hope even though i still feel down,"['that', 'gives', 'me', 'some', 'hope', 'even', 'though', 'i', 'still', 'feel', 'down']"
Hi doctor I am here about my implant check after the bicycle accident,neutral,hi doctor i am here about my implant check after the bicycle accident,"['hi', 'doctor', 'i', 'am', 'here', 'about', 'my', 'implant', 'check', 'after', 'the', 'bicycle', 'accident']"
The front temporary tooth feels okay but I am still very self conscious,neutral,the front temporary tooth feels okay but i am still very self conscious,"['the', 'front', 'temporary', 'tooth', 'feels', 'okay', 'but', 'i', 'am', 'still', 'very', 'self', 'conscious']"
It has been since the surgery last month and I feel sad because it changes how I eat and smile,sad,it has been since the surgery last month and i feel sad because it changes how i eat and smile,"['it', 'has', 'been', 'since', 'the', 'surgery', 'last', 'month', 'and', 'i', 'feel', 'sad', 'because', 'it', 'changes', 'how', 'i', 'eat', 'and', 'smile']"
Mostly appearance worries with mild tenderness,neutral,mostly appearance worries with mild tenderness,"['mostly', 'appearance', 'worries', 'with', 'mild', 'tenderness']"
No looseness and no real sores,neutral,no looseness and no real sores,"['no', 'looseness', 'and', 'no', 'real', 'sores']"
Okay. I have been putting this off because the whole thing makes me emotional,neutral,okay i have been putting this off because the whole thing makes me emotional,"['okay', 'i', 'have', 'been', 'putting', 'this', 'off', 'because', 'the', 'whole', 'thing', 'makes', 'me', 'emotional']"
I feel sad every time I remember the accident and see the missing tooth area,sad,i feel sad every time i remember the accident and see the missing tooth area,"['i', 'feel', 'sad', 'every', 'time', 'i', 'remember', 'the', 'accident', 'and', 'see', 'the', 'missing', 'tooth', 'area']"
Thank you,neutral,thank you,"['thank', 'you']"
Can this be adjusted or do I need something new,neutral,can this be adjusted or do i need something new,"['can', 'this', 'be', 'adjusted', 'or', 'do', 'i', 'need', 'something', 'new']"
What are the pros and cons of that,neutral,what are the pros and cons of that,"['what', 'are', 'the', 'pros', 'and', 'cons', 'of', 'that']"
I worry about looking older than I am,neutral,i worry about looking older than i am,"['i', 'worry', 'about', 'looking', 'older', 'than', 'i', 'am']"
I hate how this has made me avoid smiling in front of coworkers,sad,i hate how this has made me avoid smiling in front of coworkers,"['i', 'hate', 'how', 'this', 'has', 'made', 'me', 'avoid', 'smiling', 'in', 'front', 'of', 'coworkers']"
Will the process take many visits,neutral,will the process take many visits,"['will', 'the', 'process', 'take', 'many', 'visits']"
Is there anything you can do for comfort today,neutral,is there anything you can do for comfort today,"['is', 'there', 'anything', 'you', 'can', 'do', 'for', 'comfort', 'today']"
That would help because meals have become frustrating,neutral,that would help because meals have become frustrating,"['that', 'would', 'help', 'because', 'meals', 'have', 'become', 'frustrating']"
Sometimes I chew only on one side now,neutral,sometimes i chew only on one side now,"['sometimes', 'i', 'chew', 'only', 'on', 'one', 'side', 'now']"
Will I need a soft diet after the adjustment,neutral,will i need a soft diet after the adjustment,"['will', 'i', 'need', 'a', 'soft', 'diet', 'after', 'the', 'adjustment']"
I feel lonely when I eat slowly around other people,sad,i feel lonely when i eat slowly around other people,"['i', 'feel', 'lonely', 'when', 'i', 'eat', 'slowly', 'around', 'other', 'people']"
How should I clean it at home,neutral,how should i clean it at home,"['how', 'should', 'i', 'clean', 'it', 'at', 'home']"
Should I sleep without it if it keeps rubbing,neutral,should i sleep without it if it keeps rubbing,"['should', 'i', 'sleep', 'without', 'it', 'if', 'it', 'keeps', 'rubbing']"
Will I be able to speak normally after the adjustment,neutral,will i be able to speak normally after the adjustment,"['will', 'i', 'be', 'able', 'to', 'speak', 'normally', 'after', 'the', 'adjustment']"
If I choose the longer term option can I think about it for a few days,neutral,if i choose the longer term option can i think about it for a few days,"['if', 'i', 'choose', 'the', 'longer', 'term', 'option', 'can', 'i', 'think', 'about', 'it', 'for', 'a', 'few', 'days']"
I appreciate that because this reminds me of a hard time in my life,neutral,i appreciate that because this reminds me of a hard time in my life,"['i', 'appreciate', 'that', 'because', 'this', 'reminds', 'me', 'of', 'a', 'hard', 'time', 'in', 'my', 'life']"
Do you think my smile can look natural again,neutral,do you think my smile can look natural again,"['do', 'you', 'think', 'my', 'smile', 'can', 'look', 'natural', 'again']"
That gives me some hope even though I still feel down,sad,that gives me some hope even though i still feel down,"['that', 'gives', 'me', 'some', 'hope', 'even', 'though', 'i', 'still', 'feel', 'down']"
Hi doctor I am here about a crown consult for the broken tooth on my smile side,neutral,hi doctor i am here about a crown consult for the broken tooth on my smile side,"['hi', 'doctor', 'i', 'am', 'here', 'about', 'a', 'crown', 'consult', 'for', 'the', 'broken', 'tooth', 'on', 'my', 'smile', 'side']"
The tooth has a big old filling and now a corner is gone,neutral,the tooth has a big old filling and now a corner is gone,"['the', 'tooth', 'has', 'a', 'big', 'old', 'filling', 'and', 'now', 'a', 'corner', 'is', 'gone']"
It has been since I bit on a hard seed three days ago and I feel sad because it changes how I eat and smile,sad,it has been since i bit on a hard seed three days ago and i feel sad because it changes how i eat and smile,"['it', 'has', 'been', 'since', 'i', 'bit', 'on', 'a', 'hard', 'seed', 'three', 'days', 'ago', 'and', 'i', 'feel', 'sad', 'because', 'it', 'changes', 'how', 'i', 'eat', 'and', 'smile']"
Mostly worry about how it looks and some sensitivity,neutral,mostly worry about how it looks and some sensitivity,"['mostly', 'worry', 'about', 'how', 'it', 'looks', 'and', 'some', 'sensitivity']"
No sores and no looseness but the edge feels sharp,neutral,no sores and no looseness but the edge feels sharp,"['no', 'sores', 'and', 'no', 'looseness', 'but', 'the', 'edge', 'feels', 'sharp']"
Okay. I have been putting this off because the whole thing makes me emotional,neutral,okay i have been putting this off because the whole thing makes me emotional,"['okay', 'i', 'have', 'been', 'putting', 'this', 'off', 'because', 'the', 'whole', 'thing', 'makes', 'me', 'emotional']"
I have a memorial service next week and I feel awful about showing up like this,sad,i have a memorial service next week and i feel awful about showing up like this,"['i', 'have', 'a', 'memorial', 'service', 'next', 'week', 'and', 'i', 'feel', 'awful', 'about', 'showing', 'up', 'like', 'this']"
Thank you,neutral,thank you,"['thank', 'you']"
Can this be adjusted or do I need something new,neutral,can this be adjusted or do i need something new,"['can', 'this', 'be', 'adjusted', 'or', 'do', 'i', 'need', 'something', 'new']"
What are the pros and cons of that,neutral,what are the pros and cons of that,"['what', 'are', 'the', 'pros', 'and', 'cons', 'of', 'that']"
I worry about looking older than I am,neutral,i worry about looking older than i am,"['i', 'worry', 'about', 'looking', 'older', 'than', 'i', 'am']"
I hate how this has made me avoid smiling in front of my relatives,sad,i hate how this has made me avoid smiling in front of my relatives,"['i', 'hate', 'how', 'this', 'has', 'made', 'me', 'avoid', 'smiling', 'in', 'front', 'of', 'my', 'relatives']"
Will the process take many visits,neutral,will the process take many visits,"['will', 'the', 'process', 'take', 'many', 'visits']"
Is there anything you can do for comfort today,neutral,is there anything you can do for comfort today,"['is', 'there', 'anything', 'you', 'can', 'do', 'for', 'comfort', 'today']"
That would help because meals have become frustrating,neutral,that would help because meals have become frustrating,"['that', 'would', 'help', 'because', 'meals', 'have', 'become', 'frustrating']"
Sometimes I chew only on one side now,neutral,sometimes i chew only on one side now,"['sometimes', 'i', 'chew', 'only', 'on', 'one', 'side', 'now']"
Will I need a soft diet after the adjustment,neutral,will i need a soft diet after the adjustment,"['will', 'i', 'need', 'a', 'soft', 'diet', 'after', 'the', 'adjustment']"
I feel lonely when I eat slowly around other people,sad,i feel lonely when i eat slowly around other people,"['i', 'feel', 'lonely', 'when', 'i', 'eat', 'slowly', 'around', 'other', 'people']"
How should I clean it at home,neutral,how should i clean it at home,"['how', 'should', 'i', 'clean', 'it', 'at', 'home']"
Should I sleep without it if it keeps rubbing,neutral,should i sleep without it if it keeps rubbing,"['should', 'i', 'sleep', 'without', 'it', 'if', 'it', 'keeps', 'rubbing']"
Will I be able to speak normally after the adjustment,neutral,will i be able to speak normally after the adjustment,"['will', 'i', 'be', 'able', 'to', 'speak', 'normally', 'after', 'the', 'adjustment']"
If I choose the longer term option can I think about it for a few days,neutral,if i choose the longer term option can i think about it for a few days,"['if', 'i', 'choose', 'the', 'longer', 'term', 'option', 'can', 'i', 'think', 'about', 'it', 'for', 'a', 'few', 'days']"
I appreciate that because this reminds me of a hard time in my life,neutral,i appreciate that because this reminds me of a hard time in my life,"['i', 'appreciate', 'that', 'because', 'this', 'reminds', 'me', 'of', 'a', 'hard', 'time', 'in', 'my', 'life']"
Do you think my smile can look natural again,neutral,do you think my smile can look natural again,"['do', 'you', 'think', 'my', 'smile', 'can', 'look', 'natural', 'again']"
That gives me some hope even though I still feel down,sad,that gives me some hope even though i still feel down,"['that', 'gives', 'me', 'some', 'hope', 'even', 'though', 'i', 'still', 'feel', 'down']"
Hi doctor I am back for my follow up after my root canal on the lower left molar,neutral,hi doctor i am back for my follow up after my root canal on the lower left molar,"['hi', 'doctor', 'i', 'am', 'back', 'for', 'my', 'follow', 'up', 'after', 'my', 'root', 'canal', 'on', 'the', 'lower', 'left', 'molar']"
The sharp pain is gone but the tooth feels bruised when I bite,neutral,the sharp pain is gone but the tooth feels bruised when i bite,"['the', 'sharp', 'pain', 'is', 'gone', 'but', 'the', 'tooth', 'feels', 'bruised', 'when', 'i', 'bite']"
It is worse when I chew dinner and I feel sad because I hoped I would be back to normal by now,sad,it is worse when i chew dinner and i feel sad because i hoped i would be back to normal by now,"['it', 'is', 'worse', 'when', 'i', 'chew', 'dinner', 'and', 'i', 'feel', 'sad', 'because', 'i', 'hoped', 'i', 'would', 'be', 'back', 'to', 'normal', 'by', 'now']"
No fever and no swelling just tenderness,neutral,no fever and no swelling just tenderness,"['no', 'fever', 'and', 'no', 'swelling', 'just', 'tenderness']"
Yes I took the anti inflammatory for the first two days and then only once yesterday,neutral,yes i took the anti inflammatory for the first two days and then only once yesterday,"['yes', 'i', 'took', 'the', 'anti', 'inflammatory', 'for', 'the', 'first', 'two', 'days', 'and', 'then', 'only', 'once', 'yesterday']"
I have been eating soft food and avoiding that side,neutral,i have been eating soft food and avoiding that side,"['i', 'have', 'been', 'eating', 'soft', 'food', 'and', 'avoiding', 'that', 'side']"
Sleep is better now and I brush gently around it,neutral,sleep is better now and i brush gently around it,"['sleep', 'is', 'better', 'now', 'and', 'i', 'brush', 'gently', 'around', 'it']"
Okay. I keep worrying that I did something wrong,neutral,okay i keep worrying that i did something wrong,"['okay', 'i', 'keep', 'worrying', 'that', 'i', 'did', 'something', 'wrong']"
Thanks. Recovery has been harder on me emotionally than I expected,neutral,thanks recovery has been harder on me emotionally than i expected,"['thanks', 'recovery', 'has', 'been', 'harder', 'on', 'me', 'emotionally', 'than', 'i', 'expected']"
So does that mean it is healing,neutral,so does that mean it is healing,"['so', 'does', 'that', 'mean', 'it', 'is', 'healing']"
